tiempo,antonioNarino,barriosUnidos,bosa,chapinero,ciudadBolivar,engativa,fontibon,kennedy,laCandelaria,losMartires,puenteAranda,rafaelUribeUribe,sanCristobal,santaFe,suba,sumapaz,teusaquillo,tunjuelito,usaquen,usme
2010,114324,243416,600137,125249,636794,839190,346241,1052725,22650,95341,241912,367376,400491,104816,1068188,6814,140539,185784,451085,320710
2011,113235,247049,616839,125832,650367,845337,355414,1075024,22726,95287,239441,365353,400184,103535,1097642,6910,140728,187191,455991,323719
2012,112137,250574,633725,126351,664047,851270,364709,1097601,22791,95177,236877,363284,399915,102175,1127402,6990,140743,188537,460543,326497
2013,111112,254001,651084,126764,677819,856996,374142,1120274,22828,95007,234191,361125,399537,100768,1157514,7063,140755,189633,464619,329134
2014,110239,257353,669227,126949,691693,862557,383742,1142901,22824,94779,231368,358845,398918,99340,1188071,7139,140766,190289,468115,331730
2015,109603,260646,688455,126956,705663,867976,393533,1165318,22764,94487,228388,356408,397919,97920,1219135,7224,140772,190318,470922,334376
2016,109277,263883,709039,126951,719700,873243,403519,1187315,22633,94130,225220,353761,396383,96534,1250734,7330,140767,189522,472908,337152
2017,109254,267106,731047,126591,733859,878434,413734,1208980,22438,93716,221906,350944,394358,95201,1282978,7457,140473,187971,474186,340101
2018,109199,270280,753496,126192,748012,883319,424038,1230539,22243,93248,218555,348023,392220,93857,1315509,7584,140135,186383,475275,342940
2019,109104,273396,776363,125750,762184,887886,434446,1252014,22041,92755,215191,344990,389945,92490,1348372,7711,139776,184743,476184,345689
2020,108976,276453,799660,125294,776351,892169,444951,1273390,21830,92234,211802,341886,387560,91111,1381597,7838,139369,183067,476931,348332
