Localidades,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ANTONIO NARIÑO,114324,113235,112137,111112,110239,109603,109277,109254,109199,109104,108976
BARRIOS UNIDOS,243416,247049,250574,254001,257353,260646,263883,267106,270280,273396,276453
BOSA,600137,616839,633725,651084,669227,688455,709039,731047,753496,776363,799660
CHAPINERO,125249,125832,126351,126764,126949,126956,126951,126591,126192,125750,125294
CIUDAD BOLÍVAR,636794,650367,664047,677819,691693,705663,719700,733859,748012,762184,776351
ENGATIVÁ,839190,845337,851270,856996,862557,867976,873243,878434,883319,887886,892169
FONTIBÓN,346241,355414,364709,374142,383742,393533,403519,413734,424038,434446,444951
KENNEDY,1052725,1075024,1097601,1120274,1142901,1165318,1187315,1208980,1230539,1252014,1273390
LA CANDELARIA,22650,22726,22791,22828,22824,22764,22633,22438,22243,22041,21830
LOS MÁRTIRES,95341,95287,95177,95007,94779,94487,94130,93716,93248,92755,92234
PUENTE ARANDA,241912,239441,236877,234191,231368,228388,225220,221906,218555,215191,211802
RAFAEL URIBE URIBE,367376,365353,363284,361125,358845,356408,353761,350944,348023,344990,341886
SAN CRISTÓBAL,400491,400184,399915,399537,398918,397919,396383,394358,392220,389945,387560
SANTA FE,104816,103535,102175,100768,99340,97920,96534,95201,93857,92490,91111
SUBA,1068188,1097642,1127402,1157514,1188071,1219135,1250734,1282978,1315509,1348372,1381597
SUMAPAZ,6814,6910,6990,7063,7139,7224,7330,7457,7584,7711,7838
TEUSAQUILLO,140539,140728,140743,140755,140766,140772,140767,140473,140135,139776,139369
TUNJUELITO,185784,187191,188537,189633,190289,190318,189522,187971,186383,184743,183067
USAQUÉN,451085,455991,460543,464619,468115,470922,472908,474186,475275,476184,476931
USME,320710,323719,326497,329134,331730,334376,337152,340101,342940,345689,348332
